Contact info,Objectives,Refrees,Skills,Education,Experience,Job level,Score,Good or bad,Final,Job_Lev
Found,Found,Found,Found,Not Found,0,Intern,,Good,1,0
Found,Found,Found,Not Found,Found,0,Intern,,Good,1,0
Found,Found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Found,Not found,Found,Found,0,Intern,,Good,1,0
Found,Not found,Not found,Found,Not Found,0,Intern,,Good,1,0
Found,Not found,Found,Not Found,Found,0,Intern,,Good,1,0
Found,Not found,Found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Not found,Found,Found,Found,0,Intern,,Good,1,0
Found,Not found,Not found,Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Not found,Not Found,Found,0,Intern,,Good,1,0
Not found,Found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Found,Found,Found,0,Intern,,Good,1,0
Not found,Found,Found,Found,Not Found,0,Intern,,Good,1,0
Not found,Found,Found,Not Found,Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Found,Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Found,Not Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Not Found,Found,0,Intern,,Good,1,0
Not found,Not found,Not found,Not Found,Not Found,0,Intern,,Good,1,0
Found,Found,Not found,Found,Found,0.5,Intern,,Bad,0,0
Found,Found,Not found,Found,Not Found,1,Intern,,Bad,0,0
Found,Found,Found,Not Found,Found,1.5,Intern,,Bad,0,0
Found,Found,Found,Not Found,Not Found,2,Intern,,Bad,0,0
Found,Found,Found,Found,Found,2.5,Intern,,Bad,0,0
Found,Not found,Not found,Found,Not Found,3,Intern,,Bad,0,0
Found,Not found,Found,Not Found,Found,3.5,Intern,,Bad,0,0
Found,Not found,Found,Not Found,Not Found,4,Intern,,Bad,0,0
Found,Not found,Found,Found,Found,4.5,Intern,,Bad,0,0
Found,Not found,Not found,Found,Not Found,5,Intern,,Bad,0,0
Not found,Found,Not found,Not Found,Found,5.5,Intern,,Bad,0,0
Not found,Found,Not found,Not Found,Not Found,6,Intern,,Bad,0,0
Not found,Found,Found,Found,Found,6.5,Intern,,Bad,0,0
Not found,Found,Found,Found,Not Found,7,Intern,,Bad,0,0
Not found,Found,Found,Not Found,Found,7.5,Intern,,Bad,0,0
Not found,Not found,Not found,Not Found,Not Found,8,Intern,,Bad,0,0
Not found,Not found,Not found,Found,Found,8.5,Intern,,Bad,0,0
Not found,Not found,Not found,Found,Not Found,9,Intern,,Bad,0,0
Not found,Not found,Found,Not Found,Found,9.5,Intern,,Bad,0,0
Not found,Not found,Found,Not Found,Not Found,10,Intern,,Bad,0,0
Found,Found,Found,Found,Found,10.5,Intern,,Bad,0,0
Found,Found,Not found,Found,Not Found,11,Intern,,Bad,0,0
Found,Found,Not found,Not Found,Found,11.5,Intern,,Bad,0,0
Found,Found,Not found,Not Found,Not Found,12,Intern,,Bad,0,0
Found,Found,Found,Found,Found,12.5,Intern,,Bad,0,0
Found,Not found,Found,Found,Not Found,13,Intern,,Bad,0,0
Found,Not found,Found,Not Found,Found,13.5,Intern,,Bad,0,0
Found,Not found,Not found,Not Found,Not Found,14,Intern,,Bad,0,0
Found,Not found,Not found,Found,Found,14.5,Intern,,Bad,0,0
Found,Not found,Not found,Found,Not Found,15,Intern,,Bad,0,0
Not found,Found,Found,Not Found,Found,15.5,Intern,,Bad,0,0
Not found,Found,Found,Not Found,Not Found,16,Intern,,Bad,0,0
Not found,Found,Found,Found,Found,16.5,Intern,,Bad,0,0
Not found,Found,Not found,Found,Not Found,17,Intern,,Bad,0,0
Not found,Found,Not found,Not Found,Found,17.5,Intern,,Bad,0,0
Not found,Not found,Not found,Not Found,Not Found,18,Intern,,Bad,0,0
Not found,Not found,Found,Found,Found,18.5,Intern,,Bad,0,0
Not found,Not found,Found,Found,Not Found,19,Intern,,Bad,0,0
Not found,Not found,Found,Not Found,Found,19.5,Intern,,Bad,0,0
Not found,Not found,Not found,Not Found,Not Found,20,Intern,,Bad,0,0
Not found,Found,Found,Not Found,Found,20.5,Intern,,Bad,0,0
Not found,Found,Found,Not Found,Not Found,3.5,Intern,,Bad,0,0
Not found,Found,Found,Found,Found,4,Intern,,Bad,0,0
Not found,Found,Not found,Found,Not Found,4.5,Intern,,Bad,0,0
Not found,Found,Not found,Not Found,Found,5,Intern,,Bad,0,0
Not found,Not found,Not found,Not Found,Not Found,5.5,Intern,,Bad,0,0
Not found,Not found,Found,Found,Found,6,Intern,,Bad,0,0
Not found,Not found,Found,Found,Not Found,6.5,Intern,,Bad,0,0
Not found,Not found,Found,Not Found,Found,7,Intern,,Bad,0,0
Not found,Not found,Not found,Not Found,Not Found,7.5,Intern,,Bad,0,0
Found,Found,Not found,Found,Found,8,Intern,,Bad,0,0
Found,Found,Not found,Found,Not Found,8.5,Intern,,Bad,0,0
Found,Found,Found,Not Found,Found,9,Intern,,Bad,0,0
Found,Found,Found,Not Found,Not Found,9.5,Intern,,Bad,0,0
Found,Found,Found,Found,Found,10,Intern,,Bad,0,0
Found,Not found,Not found,Found,Not Found,10.5,Intern,,Bad,0,0
Found,Not found,Not found,Not Found,Found,11,Intern,,Bad,0,0
Found,Not found,Not found,Not Found,Not Found,11.5,Intern,,Bad,0,0
Found,Not found,Found,Found,Found,12,Intern,,Bad,0,0
Found,Not found,Found,Found,Not Found,12.5,Intern,,Bad,0,0
Not found,Found,Found,Not Found,Found,13,Intern,,Bad,0,0
Not found,Found,Not found,Not Found,Not Found,13.5,Intern,,Bad,0,0
Not found,Found,Not found,Found,Found,14,Intern,,Bad,0,0
Not found,Found,Not found,Found,Not Found,14.5,Intern,,Bad,0,0
Not found,Found,Found,Not Found,Found,15,Intern,,Bad,0,0
Not found,Not found,Found,Not Found,Not Found,15.5,Intern,,Bad,0,0
Not found,Not found,Found,Found,Found,16,Intern,,Bad,0,0
Not found,Not found,Not found,Found,Not Found,16.5,Intern,,Bad,0,0
Not found,Not found,Not found,Not Found,Found,17,Intern,,Bad,0,0
Not found,Not found,Not found,Not Found,Not Found,17.5,Intern,,Bad,0,0
Found,Found,Found,Found,Found,18,Intern,,Bad,0,0
Found,Found,Found,Found,Not Found,18.5,Intern,,Bad,0,0
Found,Found,Found,Not Found,Found,19,Intern,,Bad,0,0
Found,Found,Not found,Not Found,Not Found,19.5,Intern,,Bad,0,0
Found,Found,Not found,Found,Found,20,Intern,,Bad,0,0
Found,Not found,Not found,Found,Not Found,20.5,Intern,,Bad,0,0
Found,Not found,Found,Not Found,Found,18,Intern,,Bad,0,0
Found,Not found,Found,Not Found,Not Found,18.5,Intern,,Bad,0,0
Found,Not found,Found,Found,Found,19,Intern,,Bad,0,0
Found,Not found,Not found,Found,Not Found,19.5,Intern,,Bad,0,0
Not found,Found,Not found,Not Found,Found,1,Associate,,Good,1,1
Not found,Found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Not found,Found,Found,Found,Found,2,Associate,,Good,1,1
Not found,Found,Found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Found,Found,Not Found,Found,1,Associate,,Good,1,1
Not found,Not found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Not found,Found,Found,Not Found,Found,2,Associate,,Good,1,1
Not found,Not found,Not found,Not Found,Not Found,2.5,Associate,,Good,1,1
Not found,Not found,Not found,Found,Found,1,Associate,,Good,1,1
Not found,Not found,Not found,Found,Not Found,1.5,Associate,,Good,1,1
Found,Found,Found,Found,Found,2,Associate,,Good,1,1
Found,Found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Found,Found,Not found,Not Found,Found,1,Associate,,Good,1,1
Found,Found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Found,Found,Found,Found,2,Associate,,Good,1,1
Found,Not found,Found,Found,Not Found,2.5,Associate,,Good,1,1
Found,Not found,Found,Not Found,Found,1,Associate,,Good,1,1
Found,Not found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Not found,Not found,Found,Found,2,Associate,,Good,1,1
Found,Not found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Found,Found,Not Found,Found,1,Associate,,Good,1,1
Not found,Found,Found,Not Found,Not Found,1.5,Associate,,Good,1,1
Not found,Found,Found,Found,Found,2,Associate,,Good,1,1
Not found,Found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Found,Not found,Not Found,Found,1,Associate,,Good,1,1
Not found,Not found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Not found,Not found,Found,Found,Found,2,Associate,,Good,1,1
Not found,Not found,Found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Not found,Found,Not Found,Found,1,Associate,,Good,1,1
Not found,Not found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Found,Not found,Found,Found,2,Associate,,Good,1,1
Found,Found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Found,Found,Found,Not Found,Found,1,Associate,,Good,1,1
Found,Found,Found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Found,Found,Found,Found,2,Associate,,Good,1,1
Found,Not found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Found,Not found,Not found,Not Found,Found,1,Associate,,Good,1,1
Found,Not found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Not found,Found,Found,Found,2,Associate,,Good,1,1
Found,Not found,Found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Found,Found,Not Found,Found,1,Associate,,Good,1,1
Not found,Found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Not found,Found,Not found,Found,Found,2,Associate,,Good,1,1
Not found,Found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Found,Found,Not Found,Found,1,Associate,,Good,1,1
Not found,Not found,Found,Not Found,Not Found,1.5,Associate,,Good,1,1
Not found,Not found,Found,Found,Found,2,Associate,,Good,1,1
Not found,Not found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Not found,Not found,Not Found,Found,1,Associate,,Good,1,1
Not found,Not found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Found,Found,Found,Found,2,Associate,,Good,1,1
Found,Found,Found,Found,Not Found,2.5,Associate,,Good,1,1
Found,Found,Found,Not Found,Found,1,Associate,,Good,1,1
Found,Found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Found,Not found,Found,Found,2,Associate,,Good,1,1
Found,Not found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Found,Not found,Found,Not Found,Found,1,Associate,,Good,1,1
Found,Not found,Found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Not found,Found,Found,Found,2,Associate,,Good,1,1
Found,Not found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Found,Not found,Not Found,Found,1,Associate,,Good,1,1
Not found,Found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Not found,Found,Found,Found,Found,2,Associate,,Good,1,1
Not found,Found,Found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Found,Found,Not Found,Found,1,Associate,,Good,1,1
Not found,Not found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Not found,Not found,Not found,Found,Found,2,Associate,,Good,1,1
Not found,Not found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Not found,Found,Not Found,Found,1,Associate,,Good,1,1
Not found,Not found,Found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Found,Found,Found,Found,2,Associate,,Good,1,1
Found,Found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Found,Found,Not found,Not Found,Found,1,Associate,,Good,1,1
Found,Found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Found,Found,Found,Found,2,Associate,,Good,1,1
Found,Not found,Found,Found,Not Found,2.5,Associate,,Good,1,1
Found,Not found,Found,Not Found,Found,1,Associate,,Good,1,1
Found,Not found,Not found,Not Found,Not Found,1.5,Associate,,Good,1,1
Found,Not found,Not found,Found,Found,2,Associate,,Good,1,1
Found,Not found,Not found,Found,Not Found,2.5,Associate,,Good,1,1
Not found,Found,Found,Not Found,Found,0,Associate,,Bad,0,1
Not found,Found,Found,Not Found,Not Found,0.5,Associate,,Bad,0,1
Not found,Found,Found,Found,Found,3,Associate,,Bad,0,1
Not found,Found,Not found,Found,Not Found,3.5,Associate,,Bad,0,1
Not found,Found,Not found,Not Found,Found,4,Associate,,Bad,0,1
Not found,Not found,Not found,Not Found,Not Found,4.5,Associate,,Bad,0,1
Not found,Not found,Found,Found,Found,5,Associate,,Bad,0,1
Not found,Not found,Found,Found,Not Found,5.5,Associate,,Bad,0,1
Not found,Not found,Found,Not Found,Found,6,Associate,,Bad,0,1
Not found,Not found,Not found,Not Found,Not Found,6.5,Associate,,Bad,0,1
Found,Found,Not found,Found,Found,7,Associate,,Bad,0,1
Found,Found,Not found,Found,Not Found,7.5,Associate,,Bad,0,1
Found,Found,Found,Not Found,Found,8,Associate,,Bad,0,1
Found,Found,Found,Not Found,Not Found,8.5,Associate,,Bad,0,1
Found,Found,Found,Found,Found,9,Associate,,Bad,0,1
Found,Not found,Not found,Found,Not Found,9.5,Associate,,Bad,0,1
Found,Not found,Not found,Not Found,Found,10,Associate,,Bad,0,1
Found,Not found,Not found,Not Found,Not Found,10.5,Associate,,Bad,0,1
Found,Not found,Found,Found,Found,11,Associate,,Bad,0,1
Found,Not found,Found,Found,Not Found,11.5,Associate,,Bad,0,1
Not found,Found,Found,Not Found,Found,12,Associate,,Bad,0,1
Not found,Found,Not found,Not Found,Not Found,12.5,Associate,,Bad,0,1
Not found,Found,Not found,Found,Found,13,Associate,,Bad,0,1
Not found,Found,Not found,Found,Not Found,13.5,Associate,,Bad,0,1
Not found,Found,Found,Not Found,Found,14,Associate,,Bad,0,1
Not found,Not found,Found,Not Found,Not Found,14.5,Associate,,Bad,0,1
Not found,Not found,Found,Found,Found,15,Associate,,Bad,0,1
Not found,Not found,Not found,Found,Not Found,15.5,Associate,,Bad,0,1
Not found,Not found,Not found,Not Found,Found,16,Associate,,Bad,0,1
Not found,Not found,Not found,Not Found,Not Found,16.5,Associate,,Bad,0,1
Found,Found,Found,Found,Found,17,Associate,,Bad,0,1
Found,Found,Found,Found,Not Found,17.5,Associate,,Bad,0,1
Found,Found,Found,Not Found,Found,18,Associate,,Bad,0,1
Found,Found,Not found,Not Found,Not Found,18.5,Associate,,Bad,0,1
Found,Found,Not found,Found,Found,19,Associate,,Bad,0,1
Found,Not found,Not found,Found,Not Found,19.5,Associate,,Bad,0,1
Found,Not found,Found,Not Found,Found,20,Associate,,Bad,0,1
Found,Not found,Found,Not Found,Not Found,20.5,Associate,,Bad,0,1
Found,Not found,Found,Found,Found,0,Associate,,Bad,0,1
Found,Not found,Not found,Found,Not Found,0.5,Associate,,Bad,0,1
Not found,Found,Not found,Not Found,Found,3,Associate,,Bad,0,1
Not found,Found,Not found,Not Found,Not Found,3.5,Associate,,Bad,0,1
Not found,Found,Found,Found,Found,4,Associate,,Bad,0,1
Not found,Found,Found,Found,Not Found,4.5,Associate,,Bad,0,1
Not found,Found,Found,Not Found,Found,5,Associate,,Bad,0,1
Not found,Not found,Not found,Not Found,Not Found,5.5,Associate,,Bad,0,1
Not found,Not found,Not found,Found,Found,6,Associate,,Bad,0,1
Not found,Not found,Not found,Found,Not Found,6.5,Associate,,Bad,0,1
Not found,Not found,Found,Not Found,Found,7,Associate,,Bad,0,1
Not found,Not found,Found,Not Found,Not Found,7.5,Associate,,Bad,0,1
Found,Found,Found,Found,Found,8,Associate,,Bad,0,1
Found,Found,Not found,Found,Not Found,8.5,Associate,,Bad,0,1
Found,Found,Not found,Not Found,Found,9,Associate,,Bad,0,1
Found,Found,Not found,Not Found,Not Found,9.5,Associate,,Bad,0,1
Found,Found,Found,Found,Found,10,Associate,,Bad,0,1
Found,Not found,Found,Found,Not Found,10.5,Associate,,Bad,0,1
Found,Not found,Found,Not Found,Found,11,Associate,,Bad,0,1
Found,Not found,Not found,Not Found,Not Found,11.5,Associate,,Bad,0,1
Found,Not found,Not found,Found,Found,12,Associate,,Bad,0,1
Found,Not found,Not found,Found,Not Found,12.5,Associate,,Bad,0,1
Not found,Found,Found,Not Found,Found,13,Associate,,Bad,0,1
Not found,Found,Found,Not Found,Not Found,13.5,Associate,,Bad,0,1
Not found,Found,Found,Found,Found,14,Associate,,Bad,0,1
Not found,Found,Not found,Found,Not Found,14.5,Associate,,Bad,0,1
Not found,Found,Not found,Not Found,Found,15,Associate,,Bad,0,1
Not found,Not found,Not found,Not Found,Not Found,15.5,Associate,,Bad,0,1
Not found,Not found,Found,Found,Found,16,Associate,,Bad,0,1
Not found,Not found,Found,Found,Not Found,16.5,Associate,,Bad,0,1
Not found,Not found,Found,Not Found,Found,17,Associate,,Bad,0,1
Not found,Not found,Not found,Not Found,Not Found,17.5,Associate,,Bad,0,1
Found,Found,Not found,Found,Found,18,Associate,,Bad,0,1
Found,Found,Not found,Found,Not Found,18.5,Associate,,Bad,0,1
Found,Found,Found,Not Found,Found,19,Associate,,Bad,0,1
Found,Found,Found,Not Found,Not Found,19.5,Associate,,Bad,0,1
Found,Found,Found,Found,Found,20,Associate,,Bad,0,1
Found,Not found,Not found,Found,Not Found,20.5,Associate,,Bad,0,1
Found,Not found,Not found,Not Found,Found,0,Associate,,Bad,0,1
Found,Not found,Not found,Not Found,Not Found,0.5,Associate,,Bad,0,1
Found,Not found,Found,Found,Found,3,Associate,,Bad,0,1
Found,Not found,Found,Found,Not Found,3.5,Associate,,Bad,0,1
Not found,Found,Found,Not Found,Found,0,Trainee,,Good,1,4
Not found,Found,Not found,Not Found,Not Found,0,Trainee,,Good,1,4
Not found,Found,Not found,Found,Found,0,Trainee,,Good,1,4
Not found,Found,Not found,Found,Not Found,0,Trainee,,Good,1,4
Not found,Found,Found,Not Found,Found,0,Trainee,,Good,1,4
Not found,Not found,Found,Not Found,Not Found,0,Trainee,,Good,1,4
Not found,Not found,Found,Found,Found,0,Trainee,,Good,1,4
Not found,Not found,Not found,Found,Not Found,0,Trainee,,Good,1,4
Not found,Not found,Not found,Not Found,Found,0,Trainee,,Good,1,4
Not found,Not found,Not found,Not Found,Not Found,0,Trainee,,Good,1,4
Found,Found,Found,Found,Found,0,Trainee,,Good,1,4
Found,Found,Found,Found,Not Found,0,Trainee,,Good,1,4
Found,Found,Found,Not Found,Found,0,Trainee,,Good,1,4
Found,Found,Not found,Not Found,Not Found,0,Trainee,,Good,1,4
Found,Found,Not found,Found,Found,0,Trainee,,Good,1,4
Found,Not found,Not found,Found,Not Found,0,Trainee,,Good,1,4
Found,Not found,Found,Not Found,Found,0,Trainee,,Good,1,4
Found,Not found,Found,Not Found,Not Found,0,Trainee,,Good,1,4
Found,Not found,Found,Found,Found,0,Trainee,,Good,1,4
Found,Not found,Not found,Found,Not Found,0,Trainee,,Good,1,4
Not found,Found,Not found,Not Found,Found,0,Trainee,,Good,1,4
Not found,Found,Not found,Not Found,Not Found,0,Trainee,,Good,1,4
Not found,Found,Found,Found,Found,0,Trainee,,Good,1,4
Not found,Found,Found,Found,Not Found,0,Trainee,,Good,1,4
Not found,Found,Found,Not Found,Found,0,Trainee,,Good,1,4
Not found,Not found,Not found,Not Found,Not Found,0,Trainee,,Good,1,4
Not found,Not found,Not found,Found,Found,0,Trainee,,Good,1,4
Not found,Not found,Not found,Found,Not Found,0,Trainee,,Good,1,4
Not found,Not found,Found,Not Found,Found,0,Trainee,,Good,1,4
Not found,Not found,Found,Not Found,Not Found,0,Trainee,,Good,1,4
Found,Found,Found,Found,Found,0,Trainee,,Good,1,4
Found,Found,Not found,Found,Not Found,0,Trainee,,Good,1,4
Found,Found,Not found,Not Found,Found,0,Trainee,,Good,1,4
Found,Found,Not found,Not Found,Not Found,0,Trainee,,Good,1,4
Found,Found,Found,Found,Found,0,Trainee,,Good,1,4
Found,Not found,Found,Found,Not Found,0,Trainee,,Good,1,4
Found,Not found,Found,Not Found,Found,0,Trainee,,Good,1,4
Found,Not found,Not found,Not Found,Not Found,0,Trainee,,Good,1,4
Found,Not found,Not found,Found,Found,0,Trainee,,Good,1,4
Found,Not found,Not found,Found,Not Found,0,Trainee,,Good,1,4
Not found,Found,Found,Not Found,Found,0.5,Trainee,,Good,1,4
Not found,Found,Found,Not Found,Not Found,0.5,Trainee,,Good,1,4
Not found,Found,Found,Found,Found,0.5,Trainee,,Good,1,4
Not found,Found,Not found,Found,Not Found,0.5,Trainee,,Good,1,4
Not found,Found,Not found,Not Found,Found,0.5,Trainee,,Good,1,4
Not found,Not found,Not found,Not Found,Not Found,0.5,Trainee,,Good,1,4
Not found,Not found,Found,Found,Found,0.5,Trainee,,Good,1,4
Not found,Not found,Found,Found,Not Found,0.5,Trainee,,Good,1,4
Not found,Not found,Found,Not Found,Found,0.5,Trainee,,Good,1,4
Not found,Not found,Not found,Not Found,Not Found,0.5,Trainee,,Good,1,4
Found,Found,Not found,Found,Found,0.5,Trainee,,Good,1,4
Found,Found,Not found,Found,Not Found,0.5,Trainee,,Good,1,4
Found,Found,Found,Not Found,Found,0.5,Trainee,,Good,1,4
Found,Found,Found,Not Found,Not Found,0.5,Trainee,,Good,1,4
Found,Found,Found,Found,Found,0.5,Trainee,,Good,1,4
Found,Not found,Not found,Found,Not Found,0.5,Trainee,,Good,1,4
Found,Not found,Not found,Not Found,Found,0.5,Trainee,,Good,1,4
Found,Not found,Not found,Not Found,Not Found,0.5,Trainee,,Good,1,4
Found,Not found,Found,Found,Found,0.5,Trainee,,Good,1,4
Found,Not found,Found,Found,Not Found,0.5,Trainee,,Good,1,4
Not found,Found,Found,Not Found,Found,0.5,Trainee,,Good,1,4
Not found,Found,Not found,Not Found,Not Found,0.5,Trainee,,Good,1,4
Not found,Found,Not found,Found,Found,0.5,Trainee,,Good,1,4
Not found,Found,Not found,Found,Not Found,0.5,Trainee,,Good,1,4
Not found,Found,Found,Not Found,Found,0.5,Trainee,,Good,1,4
Not found,Not found,Found,Not Found,Not Found,0.5,Trainee,,Good,1,4
Not found,Not found,Found,Found,Found,0.5,Trainee,,Good,1,4
Not found,Not found,Not found,Found,Not Found,0.5,Trainee,,Good,1,4
Not found,Not found,Not found,Not Found,Found,0.5,Trainee,,Good,1,4
Not found,Not found,Not found,Not Found,Not Found,0.5,Trainee,,Good,1,4
Found,Found,Not found,Found,Found,0.5,Trainee,,Good,1,4
Found,Found,Not found,Found,Not Found,0.5,Trainee,,Good,1,4
Found,Found,Found,Not Found,Found,0.5,Trainee,,Good,1,4
Found,Found,Found,Not Found,Not Found,0.5,Trainee,,Good,1,4
Found,Found,Found,Found,Found,0.5,Trainee,,Good,1,4
Found,Not found,Not found,Found,Not Found,0.5,Trainee,,Good,1,4
Found,Not found,Not found,Not Found,Found,0.5,Trainee,,Good,1,4
Found,Not found,Not found,Not Found,Not Found,0.5,Trainee,,Good,1,4
Found,Not found,Found,Found,Found,0.5,Trainee,,Good,1,4
Found,Not found,Found,Found,Not Found,0.5,Trainee,,Good,1,4
Not found,Found,Found,Not Found,Found,1,Trainee,,Bad,0,4
Not found,Found,Not found,Not Found,Not Found,1.5,Trainee,,Bad,0,4
Not found,Found,Not found,Found,Found,2,Trainee,,Bad,0,4
Not found,Found,Not found,Found,Not Found,2.5,Trainee,,Bad,0,4
Not found,Found,Found,Not Found,Found,3,Trainee,,Bad,0,4
Not found,Not found,Found,Not Found,Not Found,3.5,Trainee,,Bad,0,4
Not found,Not found,Found,Found,Found,4,Trainee,,Bad,0,4
Not found,Not found,Not found,Found,Not Found,4.5,Trainee,,Bad,0,4
Not found,Not found,Not found,Not Found,Found,5,Trainee,,Bad,0,4
